appid,name,owners_numeric,price,price_log,price_squared,is_free,price_tier,game_age_days,game_age_years,game_age_log,release_year,release_month,release_quarter,release_day_of_week,is_holiday_release,is_weekend_release,required_age,is_mature,is_teen,achievements,has_achievements,achievements_log,achievements_tier,windows,mac,linux,platform_count,is_cross_platform,is_all_platforms,is_windows_only,english,num_categories,cat_single_player,cat_multi_player,cat_online_multi_player,cat_steam_achievements,cat_steam_trading_cards,cat_steam_cloud,cat_full_controller_support,cat_partial_controller_support,cat_steam_leaderboards,cat_co_op,cat_online_co_op,cat_shared_split_screen,cat_vr_support,cat_steam_workshop,cat_in_app_purchases,cat_includes_level_editor,cat_commentary_available,cat_local_multi_player,cat_cross_platform_multiplayer,cat_mmo,num_genres,genre_indie,genre_action,genre_casual,genre_adventure,genre_strategy,genre_simulation,genre_rpg,genre_early_access,genre_free_to_play,genre_sports,genre_racing,genre_massively_multiplayer,genre_violent,genre_gore,genre_nudity,genre_sexual_content,genre_utilities,genre_design_and_illustration,genre_animation_and_modeling,genre_education,genre_video_production,genre_software_training,genre_audio_production,genre_web_publishing,genre_game_development,genre_photo_editing,genre_accounting,num_tags,tag_action,tag_casual,tag_adventure,tag_strategy,tag_simulation,tag_rpg,tag_early_access,tag_free_to_play,tag_puzzle,tag_vr,tag_racing,tag_sports,tag_platformer,tag_point_and_click,tag_fps,tag_anime,tag_visual_novel,tag_horror,tag_hidden_object,tag_multiplayer,tag_gore,tag_massively_multiplayer,tag_open_world,tag_space,tag_shoot_em_up,tag_pixel_graphics,tag_survival,tag_rts,tag_female_protagonist,tag_classic,tag_arcade,tag_sci_fi,tag_turn_based,tag_tower_defense,tag_rpgmaker,tag_singleplayer,tag_difficult,tag_fantasy,tag_roguelike,tag_comedy,tag_sandbox,tag_story_rich,tag_atmospheric,tag_2d,tag_zombies,tag_co_op,tag_great_soundtrack,tag_physics,tag_management,tag_tactical,tag_building,tag_fighting,tag_retro,tag_war,tag_jrpg,tag_hack_and_slash,tag_stealth,tag_mystery,tag_medieval,tag_crafting,developer_game_count,is_prolific_developer,is_new_developer,dev_top_1,dev_top_2,dev_top_3,dev_top_4,dev_top_5,dev_top_6,dev_top_7,dev_top_8,dev_top_9,dev_top_10,dev_top_11,dev_top_12,dev_top_13,dev_top_14,dev_top_15,dev_top_16,dev_top_17,dev_top_18,dev_top_19,dev_top_20,publisher_game_count,is_major_publisher,is_self_published,market_saturation_month,market_saturation_quarter,market_saturation_log,indie_multiplatform,price_x_action,platforms_x_price,f2p_multiplayer,achievements_x_price,holiday_casual
10,Counter-Strike,15000000.0,7.19,2.102913897864978,51.69610000000001,0,2,6025,16.506849315068493,8.703838719690246,2000,11,4,2,1,0,0,0,0,0,0,0.0,0,1,1,1,3,1,1,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1,1,2,2,1.0986122886681098,0,7.19,21.57,0,0.0,0
20,Team Fortress Classic,7500000.0,3.99,1.6074359097634274,15.920100000000001,0,1,6605,18.095890410958905,8.795733605950735,1999,4,2,3,0,0,0,0,0,0,0,0.0,0,1,1,1,3,1,1,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1,1,1,1,0.6931471805599453,0,3.99,11.97,0,0.0,0
30,Day of Defeat,7500000.0,3.99,1.6074359097634274,15.920100000000001,0,1,5114,14.01095890410959,8.539932678385727,2003,5,2,3,0,0,0,0,0,0,0,0.0,0,1,1,1,3,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1,1,1,1,0.6931471805599453,0,3.99,11.97,0,0.0,0
40,Deathmatch Classic,7500000.0,3.99,1.6074359097634274,15.920100000000001,0,1,5813,15.926027397260274,8.668024081118821,2001,6,2,4,1,1,0,0,0,0,0,0.0,0,1,1,1,3,1,1,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1,1,2,2,1.0986122886681098,0,3.99,11.97,0,0.0,0
50,Half-Life: Opposing Force,7500000.0,3.99,1.6074359097634274,15.920100000000001,0,1,6391,17.50958904109589,8.76280248744611,1999,11,4,0,1,0,0,0,0,0,0,0.0,0,1,1,1,3,1,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1,0,1,1,0.6931471805599453,0,3.99,11.97,0,0.0,0
60,Ricochet,7500000.0,3.99,1.6074359097634274,15.920100000000001,0,1,6025,16.506849315068493,8.703838719690246,2000,11,4,2,1,0,0,0,0,0,0,0.0,0,1,1,1,3,1,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1,1,2,2,1.0986122886681098,0,3.99,11.97,0,0.0,0
70,Half-Life,7500000.0,7.19,2.102913897864978,51.69610000000001,0,2,6749,18.49041095890411,8.817297783866575,1998,11,4,6,1,0,0,0,0,0,0,0.0,0,1,1,1,3,1,1,0,1,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1,1,1,1,0.6931471805599453,0,7.19,21.57,0,0.0,0
80,Counter-Strike: Condition Zero,15000000.0,7.19,2.102913897864978,51.69610000000001,0,2,4809,13.175342465753424,8.478452363099807,2004,3,1,0,0,0,0,0,0,0,0,0.0,0,1,1,1,3,1,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1,1,2,2,1.0986122886681098,0,7.19,21.57,0,0.0,0
130,Half-Life: Blue Shift,7500000.0,3.99,1.6074359097634274,15.920100000000001,0,1,5813,15.926027397260274,8.668024081118821,2001,6,2,4,1,1,0,0,0,0,0,0.0,0,1,1,1,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1,0,2,2,1.0986122886681098,0,3.99,11.97,0,0.0,0
220,Half-Life 2,15000000.0,7.19,2.102913897864978,51.69610000000001,0,2,4549,12.463013698630137,8.422882511944996,2004,11,4,1,1,0,0,0,0,33,1,3.5263605246161616,3,1,1,1,3,1,1,0,1,7,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1,1,3,3,1.3862943611198906,0,7.19,21.57,0,7.19,0
